scen_cpol,scen_tech,Baseline,Scenario
NoPol,Default,NoPol-Default,NoPol-Default
1000,Default,NoPol-Default,1000-Default
1000,LimBio,NoPol-Default,1000-LimBio
1000,CCSoff,NoPol-Default,1000-CCSoff
1000,H2lowcost,NoPol-Default,1000-H2lowcost
1000,H2off,NoPol-Default,1000-H2off
1000,VRElowcost,NoPol-Default,1000-VRElowcost
1100,Default,NoPol-Default,1100-Default
1100,LimBio,NoPol-Default,1100-LimBio
1100,CCSoff,NoPol-Default,1100-CCSoff
1100,H2lowcost,NoPol-Default,1100-H2lowcost
1100,H2off,NoPol-Default,1100-H2off
1100,VRElowcost,NoPol-Default,1100-VRElowcost
1200,Default,NoPol-Default,1200-Default
1200,LimBio,NoPol-Default,1200-LimBio
1200,CCSoff,NoPol-Default,1200-CCSoff
1200,H2lowcost,NoPol-Default,1200-H2lowcost
1200,H2off,NoPol-Default,1200-H2off
1200,VRElowcost,NoPol-Default,1200-VRElowcost
1300,Default,NoPol-Default,1300-Default
1300,LimBio,NoPol-Default,1300-LimBio
1300,CCSoff,NoPol-Default,1300-CCSoff
1300,H2lowcost,NoPol-Default,1300-H2lowcost
1300,H2off,NoPol-Default,1300-H2off
1300,VRElowcost,NoPol-Default,1300-VRElowcost
1400,Default,NoPol-Default,1400-Default
1400,LimBio,NoPol-Default,1400-LimBio
1400,CCSoff,NoPol-Default,1400-CCSoff
1400,H2lowcost,NoPol-Default,1400-H2lowcost
1400,H2off,NoPol-Default,1400-H2off
1400,VRElowcost,NoPol-Default,1400-VRElowcost
500,Default,NoPol-Default,500-Default
500,LimBio,NoPol-Default,500-LimBio
500,H2lowcost,NoPol-Default,500-H2lowcost
500,H2off,NoPol-Default,500-H2off
500,VRElowcost,NoPol-Default,500-VRElowcost
600,Default,NoPol-Default,600-Default
600,LimBio,NoPol-Default,600-LimBio
600,CCSoff,NoPol-Default,600-CCSoff
600,H2lowcost,NoPol-Default,600-H2lowcost
600,H2off,NoPol-Default,600-H2off
600,VRElowcost,NoPol-Default,600-VRElowcost
700,Default,NoPol-Default,700-Default
700,LimBio,NoPol-Default,700-LimBio
700,CCSoff,NoPol-Default,700-CCSoff
700,H2lowcost,NoPol-Default,700-H2lowcost
700,H2off,NoPol-Default,700-H2off
700,VRElowcost,NoPol-Default,700-VRElowcost
800,Default,NoPol-Default,800-Default
800,LimBio,NoPol-Default,800-LimBio
800,CCSoff,NoPol-Default,800-CCSoff
800,H2lowcost,NoPol-Default,800-H2lowcost
800,H2off,NoPol-Default,800-H2off
800,VRElowcost,NoPol-Default,800-VRElowcost
900,Default,NoPol-Default,900-Default
900,LimBio,NoPol-Default,900-LimBio
900,CCSoff,NoPol-Default,900-CCSoff
900,H2lowcost,NoPol-Default,900-H2lowcost
900,H2off,NoPol-Default,900-H2off
900,VRElowcost,NoPol-Default,900-VRElowcost
